LURN_SAK,Incident Date,Incident Reported Date,Category,Stat Code,Stat Code Desc,Address,Street,City,Zip,Incident ID,Reporting District,Sequential (per Station),Gang Related,Unit ID,Unit Name,Longitude,Latitude,Part Category,OBJECTID,x,y
20215882,4/18/2023 3:15:00 AM,5/1/2023 12:00:00 AM,BURGLARY,77,"BURGLARY, OTHER STRUCTURE: Unknown, Entry By Force","19900 WALNUT DR, INDUSTRY, CA",19900 WALNUT DR,INDUSTRY,,923-04522-1419,1419,4522,NO,CA0190014,INDUSTRY,-117.8655804,33.99473394,1,8689,-13120736.39,4028094.945
20216955,5/2/2023 4:29:00 AM,5/2/2023 12:00:00 AM,LARCENY THEFT,341,VEHICLE BURGLARY: Attempt Auto/Passenger Van Burglary,"12900 PARK PLAZA DR, CERRITOS, CA 90703",12900 PARK PLAZA DR,CERRITOS,90703,923-01816-2317,2317,1816,NO,CA01900R7,CERRITOS,-118.0551271,33.86894193,1,8690,-13141836.63,4011217.676
20216111,3/30/2023 11:59:30 AM,5/1/2023 12:00:00 AM,FORGERY,103,WORTHLESS DOCUMENTS/FORGERY: Forgery - Checks/Money Orders,"16100 GALE AVE, HACIENDA HEIGHTS, CA 91745",16100 GALE AVE,HACIENDA HEIGHTS,91745,923-04533-1473,1473,4533,NO,CA0190014,INDUSTRY,-117.9539361,34.00801387,2,8691,-13130572.11,4029878.144
20213243,4/27/2023 5:30:00 PM,4/27/2023 12:00:00 AM,VANDALISM,261,VANDALISM MISD,"5100 ELDERHALL AVE, LAKEWOOD, CA 90712",5100 ELDERHALL AVE,LAKEWOOD,90712,923-08038-1320,1320,8038,NO,CA0190013,LAKEWOOD,-118.1669746,33.8500053,2,8692,-13154287.44,4008679.14
20127569,1/11/2023 5:40:00 PM,1/13/2023 12:00:00 AM,FRAUD AND NSF CHECKS,112,FRAUD: Fraud By False Pretenses,"13800 MAYPORT AVE, NORWALK, CA 90650",13800 MAYPORT AVE,NORWALK,90650,923-00530-0454,454,530,NO,CA0190004,NORWALK,-118.0591668,33.90400445,2,8693,-13142286.33,4015919.441
20214389,4/28/2023 2:00:00 AM,4/29/2023 12:00:00 AM,LARCENY THEFT,85,GRAND THEFT: Auto Parts And Accessories,"13800 REIS ST, WHITTIER, CA 90605",13800 REIS ST,WHITTIER,90605,923-05065-0491,491,5065,NO,CA0190004,NORWALK,-118.0360685,33.94094861,1,8694,-13139715.04,4020875.62
20212594,4/27/2023 2:07:30 AM,4/27/2023 12:00:00 AM,BURGLARY,71,"BURGLARY, OTHER STRUCTURE: Night, Entry By Force","10700 CALIFORNIA AVE, LYNWOOD, CA 90262",10700 CALIFORNIA AVE,LYNWOOD,90262,923-05794-2112,2112,5794,NO,CA01900V3,CENTURY,-118.2077553,33.93500623,1,8695,-13158827.12,4020078.286
20215607,5/1/2023 5:04:00 AM,5/1/2023 12:00:00 AM,ROBBERY,34,"ROBBERY, WEAPON: Convenience Store, Fast Food, Restaurant","18900 COLIMA RD, ROWLAND HEIGHTS, CA",18900 COLIMA RD,ROWLAND HEIGHTS,,923-03167-2931,2931,3167,NO,CA0190020,WALNUT,-117.8893005,33.98698674,1,8696,-13123376.9,4027054.797
20214197,4/27/2023 10:00:00 PM,4/28/2023 12:00:00 AM,BURGLARY,71,"BURGLARY, OTHER STRUCTURE: Night, Entry By Force","10200 MINA AVE, WHITTIER, CA 90604",10200 MINA AVE,WHITTIER,90604,923-05056-0491,491,5056,NO,CA0190004,NORWALK,-118.0400454,33.94097147,1,8697,-13140157.75,4020878.688
20213566,4/28/2023 12:45:00 AM,4/28/2023 12:00:00 AM,VANDALISM,261,VANDALISM MISD,"20700 NORWALK BLVD, LAKEWOOD, CA 90715",20700 NORWALK BLVD,LAKEWOOD,90715,923-08074-1328,1328,8074,NO,CA0190013,LAKEWOOD,-118.0720801,33.84200457,2,8698,-13143723.83,4007606.779
